Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,PCS-403 (MOP) [LAB4],PCS-403(L) (MOP) [LAB4],FREE,FREE,TCS-403 (MOP) [CR401],XCS-401 (NB) [CR403],TCS-403 (MOP) [CR401],TCS-402 (MK) [CR604]
Tue,TCS-421 (SJ) [CR606],FREE,FREE,TCS-421 (SJ) [CR606],FREE,TCS-409 (MK) [CR401],PCS-409 (AG) [LAB4],PCS-409(L) (AG) [LAB4]
Wed,FREE,FREE,TCS-408 (DC) [CR401],FREE,TCS-402 (MK) [CR604],TCS-402 (MK) [CR604],FREE,FREE
Thu,FREE,TCS-403 (MOP) [CR401],TCS-409 (MK) [CR401],FREE,TCS-408 (DC) [CR401],XCS-401 (NB) [CR403],TCS-421 (SJ) [CR606],FREE
Fri,PCS-408 (DC) [LAB1],PCS-408(L) (DC) [LAB1],FREE,TCS-409 (MK) [CR401],FREE,TCS-408 (DC) [CR401],PESE-400 (KJ) [SEMR1],PESE-400(L) (KJ) [SEMR1]
