Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,TCS666 (T_SHJ) [CR605],FREE,TCS693 (T_HEP) [CR606],TCS611 (T_ANB) [CR605],PCS666 (T_SHJ) [LAB1],FREE,TCS695 (T_PRK) [CR603],FREE
Tue,PESE600 (T_MAY) [SEMR1],TCS611 (T_ANB) [CR605],PCS601 (T_DEV) [LAB1],TCS601 (T_DEV) [CR603],PCS666 (T_SHJ) [LAB1],FREE,FREE,TCS693 (T_HEP) [CR606]
Wed,FREE,FREE,FREE,XCS601 (T_PAW) [CR605],TCS601 (T_DEV) [CR603],FREE,TCS666 (T_SHJ) [CR605],FREE
Thu,PESE600 (T_MAY) [SEMR1],TCS611 (T_ANB) [CR605],FREE,XCS601 (T_PAW) [CR605],PCS693 (T_MEU) [LAB2],TCS666 (T_SHJ) [CR605],PCS693 (T_MEU) [LAB2],TCS695 (T_PRK) [CR603]
Fri,TCS601 (T_DEV) [CR603],TCS695 (T_PRK) [CR603],FREE,FREE,PCS601 (T_DEV) [LAB1],FREE,SCS601 (T_SHJ) [SEMR1],TCS693 (T_HEP) [CR606]
