Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,TCS601 (T_DEV) [CR603],TCS693 (T_HEP) [CR606],FREE,XCS601 (T_DIV) [CR606],TCS611 (T_ANB) [CR605],FREE,TCS611 (T_ANB) [CR605],PCS601 (T_VAD) [LAB2]
Tue,TCS695 (T_PRK) [CR602],PCS666 (T_SHJ) [LAB2],FREE,PCS601 (T_VAD) [LAB2],TCS611 (T_ANB) [CR605],PESE600 (T_NID) [SEMR1],FREE,FREE
Wed,FREE,SCS601 (T_SHJ) [SEMR1],TCS693 (T_HEP) [CR606],TCS666 (T_SHJ) [CR606],PESE600 (T_NID) [SEMR1],FREE,FREE,PCS693 (T_MEU) [LAB1]
Thu,TCS601 (T_DEV) [CR603],TCS666 (T_SHJ) [CR606],TCS601 (T_DEV) [CR603],PCS693 (T_MEU) [LAB1],TCS695 (T_PRK) [CR602],FREE,FREE,FREE
Fri,TCS695 (T_PRK) [CR602],XCS601 (T_DIV) [CR606],TCS693 (T_HEP) [CR603],PCS666 (T_SHJ) [LAB2],FREE,TCS666 (T_SHJ) [CR606],FREE,FREE
