Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,TCS-601 (DVP) [CR401],TCS-693 (HP) [CR603],XCS-601 (NJ) [CR403],FREE,FREE,TCS-601 (DVP) [CR401],TCS-601 (DVP) [CR401]
Tue,TCS-614 (AB) [CR401],SCS-601 (SP) [SEMR1],FREE,FREE,TCS-611 (AB) [CR606],TCS-695 (PK) [CR603],FREE,PESE-600 (LS) [SEMR1]
Wed,FREE,FREE,TCS-695 (PK) [CR603],FREE,PCS-601 (VD) [LAB1],PCS-601(L) (VD) [LAB1],FREE,XCS-601 (NJ) [CR403]
Thu,TCS-695 (PK) [CR603],TCS-611 (AB) [CR606],TCS-614 (AB) [CR401],FREE,FREE,TCS-693 (HP) [CR603],FREE,TCS-693 (HP) [CR603]
Fri,FREE,TCS-611 (AB) [CR606],PCS-614 (KU) [LAB3],PCS-614(L) (KU) [LAB3],FREE,TCS-614 (AB) [CR401],PCS-693 (MU) [LAB1],PCS-693(L) (MU) [LAB1]
