Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,TCS-614 (AB) [CR606],TCS-651 (AD) [CR601],FREE,FREE,PCS-614 (KU) [LAB3],PCS-614(L) (KU) [LAB3],SCS-601 (SJ) [SEMR1],FREE
Tue,TCS-651 (AD) [CR601],TCS-614 (AB) [CR606],FREE,TCS-601 (MK) [CR601],XCS-601 (NB) [CR605],FREE,PCS-601 (VD) [LAB1],PCS-601(L) (VD) [LAB1]
Wed,PCS-693 (MU) [LAB4],PCS-693(L) (MU) [LAB4],FREE,TCS-614 (AB) [CR606],TCS-611 (AB) [CR403],TCS-693 (SP) [CR401],TCS-601 (MK) [CR601],FREE
Thu,TCS-611 (AB) [CR403],FREE,TCS-651 (AD) [CR601],FREE,FREE,TCS-611 (AB) [CR403],TCS-693 (SP) [CR401],FREE
Fri,XCS-601 (NB) [CR605],PESE-600 (NJ) [SEMR2],FREE,TCS-601 (MK) [CR601],FREE,FREE,FREE,TCS-693 (SP) [CR401]
