Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,PCS601 (T_VAD) [LAB1],PCS693 (T_MEU) [LAB2],TCS601 (T_DEV) [CR603],TCS666 (T_SHJ) [CR606],FREE,TCS693 (T_HEP) [CR605],TCS611 (T_ANB) [CR602]
Tue,FREE,TCS695 (T_PRK) [CR604],XCS601 (T_DIV) [CR603],TCS695 (T_PRK) [CR604],PCS601 (T_VAD) [LAB1],PCS666 (T_SHJ) [LAB1],PCS693 (T_MEU) [LAB2],FREE
Wed,TCS695 (T_PRK) [CR604],SCS601 (T_SHJ) [SEMR1],TCS666 (T_SHJ) [CR606],TCS601 (T_DEV) [CR603],FREE,PCS666 (T_SHJ) [LAB1],FREE,FREE
Thu,FREE,TCS601 (T_DEV) [CR601],TCS693 (T_HEP) [CR603],PESE600 (T_NID) [SEMR1],FREE,FREE,FREE,FREE
Fri,TCS611 (T_ANB) [CR606],TCS666 (T_SHJ) [CR606],XCS601 (T_DIV) [CR605],TCS693 (T_HEP) [CR603],FREE,FREE,FREE,TCS611 (T_ANB) [CR603]
