Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,TCS-611 (AB) [CR603],TCS-601 (MK) [CR603],FREE,XCS-601 (NB) [CR601],FREE,FREE,PCS-693 (MU) [LAB3],PCS-693(L) (MU) [LAB3]
Tue,XCS-601 (NB) [CR601],TCS-693 (SP) [CR403],PCS-614 (KU) [LAB1],PCS-614(L) (KU) [LAB1],FREE,TCS-651 (AD) [CR603],PESE-600 (NJ) [SEMR1],PESE-600(L) (NJ) [SEMR1]
Wed,FREE,FREE,TCS-611 (AB) [CR603],FREE,TCS-601 (MK) [CR603],TCS-693 (SP) [CR403],FREE,TCS-614 (AB) [CR603]
Thu,FREE,FREE,FREE,TCS-651 (AD) [CR603],PCS-601 (VD) [LAB3],PCS-601(L) (VD) [LAB3],TCS-651 (AD) [CR603],TCS-611 (AB) [CR603]
Fri,FREE,TCS-693 (SP) [CR403],TCS-614 (AB) [CR603],SCS-601 (SJ) [SEMR1],FREE,TCS-601 (MK) [CR603],TCS-614 (AB) [CR603],FREE
