Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,PCS-614 (KU) [LAB4],PCS-614(L) (KU) [LAB4],TCS-693 (SP) [CR605],TCS-695 (PK) [CR402],TCS-601 (MK) [CR601],TCS-614 (AA) [CR402],TCS-611 (AB) [CR602],SCS-601 (AB) [SEMR1]
Tue,FREE,FREE,PESE-600 (MP) [SEMR2],PESE-600(L) (MP) [SEMR2],FREE,TCS-614 (AA) [CR402],PCS-693 (SP) [LAB1],PCS-693(L) (SP) [LAB1]
Wed,PCS-601 (VD) [LAB3],PCS-601(L) (VD) [LAB3],TCS-693 (SP) [CR605],XCS-601 (LS) [CR605],FREE,FREE,TCS-611 (AB) [CR602],TCS-601 (MK) [CR601]
Thu,TCS-695 (PK) [CR402],FREE,XCS-601 (LS) [CR605],FREE,TCS-614 (AA) [CR402],FREE,FREE,TCS-695 (PK) [CR402]
Fri,FREE,FREE,TCS-693 (SP) [CR605],FREE,TCS-611 (AB) [CR602],FREE,FREE,TCS-601 (MK) [CR601]
