Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,SCS-601 (SP) [SEMR1],FREE,TCS-611 (AB) [CR604],FREE,TCS-693 (HP) [CR602],FREE,TCS-695 (PK) [CR603],XCS-601 (NJ) [CR403]
Tue,TCS-695 (PK) [CR603],TCS-611 (AB) [CR604],FREE,FREE,PCS-614 (KU) [LAB1],PCS-614(L) (KU) [LAB1],FREE,TCS-693 (HP) [CR602]
Wed,FREE,TCS-695 (PK) [CR603],PCS-693 (MU) [LAB2],PCS-693(L) (MU) [LAB2],PCS-601 (VD) [LAB4],PCS-601(L) (VD) [LAB4],TCS-601 (DVP) [CR601],FREE
Thu,TCS-601 (DVP) [CR601],TCS-601 (DVP) [CR601],TCS-614 (AB) [CR401],TCS-611 (AB) [CR604],TCS-614 (AB) [CR401],FREE,FREE,TCS-693 (HP) [CR602]
Fri,TCS-614 (AB) [CR401],FREE,XCS-601 (NJ) [CR403],FREE,PESE-600 (LS) [SEMR2],PESE-600(L) (LS) [SEMR2],FREE,FREE
