Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,XCS-601 (DT) [CR602],TCS-695 (PK) [CR601],PCS-693 (MU) [LAB2],PCS-693(L) (MU) [LAB2],FREE,TCS-601 (RS) [CR603],FREE,FREE
Tue,TCS-614 (AA) [CR604],FREE,XCS-601 (DT) [CR602],TCS-611 (AB) [CR403],TCS-601 (RS) [CR603],FREE,PCS-614 (KU) [LAB3],PCS-614(L) (KU) [LAB3]
Wed,TCS-695 (PK) [CR601],TCS-611 (AB) [CR403],FREE,TCS-611 (AB) [CR403],PESE-600 (LS) [SEMR1],PESE-600(L) (LS) [SEMR1],SCS-601 (SKS) [SEMR2],TCS-693 (SC) [CR403]
Thu,FREE,FREE,PCS-601 (VD) [LAB3],PCS-601(L) (VD) [LAB3],TCS-601 (RS) [CR603],FREE,TCS-695 (PK) [CR601],FREE
Fri,TCS-693 (SC) [CR403],FREE,TCS-614 (AA) [CR604],TCS-614 (AA) [CR604],FREE,TCS-693 (SC) [CR403],FREE,FREE
