Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,XCS601 (T_DIV) [CR601],TCS611 (T_ROH) [CR604],PCS601 (T_VAD) [LAB2],XCS601 (T_DIV) [CR601],TCS695 (T_PRI) [CR604],FREE,FREE,FREE
Tue,FREE,TCS693 (T_VIJ) [CR602],TCS601 (T_ARN) [CR601],TCS666 (T_RAV) [CR606],FREE,FREE,FREE,FREE
Wed,SCS601 (T_RAV) [SEMR1],PCS693 (T_MEU) [LAB2],TCS693 (T_VIJ) [CR602],TCS611 (T_ROH) [CR602],FREE,PESE600 (T_NID) [SEMR1],TCS666 (T_RAV) [CR604],FREE
Thu,TCS666 (T_RAV) [CR605],TCS695 (T_PRI) [CR601],PCS666 (T_RAV) [LAB2],TCS695 (T_PRI) [CR601],TCS611 (T_ROH) [CR602],FREE,TCS601 (T_ARN) [CR601],FREE
Fri,FREE,TCS693 (T_VIJ) [CR602],TCS601 (T_ARN) [CR601],FREE,FREE,FREE,FREE,FREE
