Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,FREE,FREE,CS4A/TCS-402 (RS),FREE,CS4A/TCS-402 (RS),CS4C/TCS-421 (HP),CS6E/TCS-693 (HP)
Tue,CS4E/TCS-421 (SJ),CS4B/TCS-408 (DC),CS4B/TCS-408 (DC),CS4E/TCS-421 (SJ),FREE,FREE,CS4B/TCS-408 (DC),CS4C/TCS-421 (HP)
Wed,CS4D/TCS-409 (SKS),FREE,CS4D/TCS-402 (MK),FREE,FREE,FREE,FREE,CS6E/TCS-601 (DVP)
Thu,FREE,FREE,CS6E/TCS-693 (HP),CS6E/TCS-693 (HP),CS4A/TCS-402 (RS),CS4D/TCS-402 (MK),CS4E/TCS-421 (SJ),CS4D/TCS-402 (MK)
Fri,CS4D/TCS-409 (SKS),CS4D/TCS-409 (SKS),CS6E/TCS-601 (DVP),CS6E/TCS-601 (DVP),FREE,FREE,CS4C/TCS-421 (HP),FREE
