Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS6D/SCS-601 (AA),FREE,CS6B/PESE-600 (MP),CS6B/PESE-600(L) (MP),FREE,FREE,FREE,FREE
Tue,FREE,FREE,CS6F/PESE-600 (MP),CS6F/PESE-600(L) (MP),FREE,FREE,FREE,FREE
Wed,CS4E/PESE-400 (KJ),CS4E/PESE-400(L) (KJ),FREE,FREE,FREE,FREE,CS6A/SCS-601 (SKS),FREE
Thu,CS4A/PESE-400 (SA),CS4A/PESE-400(L) (SA),FREE,FREE,FREE,FREE,FREE,FREE
Fri,FREE,FREE,CS4D/PESE-400 (KJ),CS4D/PESE-400(L) (KJ),CS6E/PESE-600 (LS),CS6E/PESE-600(L) (LS),FREE,FREE
