Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS6F/PCS-614 (KU),CS6F/PCS-614(L) (KU),FREE,FREE,FREE,FREE,FREE,FREE
Tue,FREE,FREE,CS4B/PCS-409 (AG),CS4B/PCS-409(L) (AG),CS4C/PCS-403 (GSJ),CS4C/PCS-403(L) (GSJ),FREE,FREE
Wed,CS4A/PCS-403 (GSJ),CS4A/PCS-403(L) (GSJ),FREE,FREE,CS6E/PCS-601 (VD),CS6E/PCS-601(L) (VD),FREE,FREE
Thu,FREE,FREE,CS4B/PCS-408 (DC),CS4B/PCS-408(L) (DC),FREE,FREE,FREE,FREE
Fri,CS6B/PCS-601 (VD),CS6B/PCS-601(L) (VD),FREE,FREE,FREE,FREE,CS4D/PCS-409 (AG),CS4D/PCS-409(L) (AG)
