Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS6A/TCS666 (T_SHJ),FREE,FREE,CS6A/TCS611 (T_ANB),CS6D/TCS611 (T_ANB),FREE,CS6D/TCS611 (T_ANB),FREE
Tue,FREE,CS6A/TCS611 (T_ANB),FREE,FREE,CS6D/TCS611 (T_ANB),CS6E/TCS601 (T_DEV),FREE,FREE
Wed,CS6E/TCS601 (T_DEV),FREE,FREE,CS6A/XCS601 (T_PAW),CS6F/XCS601 (T_DIV),FREE,CS6A/TCS666 (T_SHJ),FREE
Thu,FREE,CS6A/TCS611 (T_ANB),FREE,CS6A/XCS601 (T_PAW),FREE,CS6A/TCS666 (T_SHJ),FREE,CS6E/TCS601 (T_DEV)
Fri,FREE,FREE,FREE,FREE,FREE,FREE,FREE,FREE
