Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,TCS-409 (SKS) [CR402],FREE,FREE,TCS-408 (DC) [CR403],TCS-403 (MOP) [CR603],TCS-408 (DC) [CR403],XCS-401 (LS) [CR606],FREE
Tue,PCS-409 (AG) [LAB2],PCS-409(L) (AG) [LAB2],PESE-400 (KJ) [SEMR1],TCS-409 (SKS) [CR402],FREE,TCS-421 (ASB) [CR601],TCS-421 (ASB) [CR601],TCS-408 (DC) [CR403]
Wed,TCS-402 (MK) [CR603],TCS-403 (MOP) [CR603],PCS-403 (MOP) [LAB1],PCS-403(L) (MOP) [LAB1],FREE,TCS-409 (SKS) [CR402],TCS-403 (MOP) [CR603],FREE
Thu,PCS-408 (DC) [LAB2],PCS-408(L) (DC) [LAB2],TCS-402 (MK) [CR603],FREE,FREE,FREE,FREE,FREE
Fri,TCS-421 (ASB) [CR601],XCS-401 (LS) [CR606],TCS-402 (MK) [CR603],FREE,FREE,FREE,FREE,FREE
