Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,TCS-614 (AA) [CR403],TCS-601 (MK) [CR601],FREE,TCS-693 (SP) [CR403],FREE,TCS-611 (AB) [CR602],FREE
Tue,FREE,TCS-693 (SP) [CR403],PCS-693 (SP) [LAB1],PCS-693(L) (SP) [LAB1],PCS-614 (KU) [LAB1],PCS-614(L) (KU) [LAB1],FREE,TCS-695 (PK) [CR604]
Wed,PESE-600 (MP) [SEMR1],TCS-601 (MK) [CR601],TCS-693 (SP) [CR403],XCS-601 (LS) [CR402],TCS-611 (AB) [CR602],FREE,TCS-601 (MK) [CR601],FREE
Thu,XCS-601 (LS) [CR402],FREE,PCS-601 (VD) [LAB1],PCS-601(L) (VD) [LAB1],TCS-614 (AA) [CR403],TCS-695 (PK) [CR604],TCS-611 (AB) [CR602],FREE
Fri,SCS-601 (AB) [SEMR2],FREE,FREE,FREE,TCS-614 (AA) [CR403],TCS-695 (PK) [CR604],FREE,FREE
