Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,FREE,CS6D/TCS-693 (SC),CS6D/TCS-651 (AD),FREE,CS4C/TCS-409 (SC),CS4B/XCS-401 (GP),CS6F/XCS-601 (LS)
Tue,CS6F/TCS-601 (MK),CS6D/TCS-611 (AB),CS4C/TCS-421 (HP),FREE,CS6E/TCS-693 (HP),FREE,CS6F/TCS-601 (MK),FREE
Wed,CS4B/XCS-401 (GP),FREE,CS4C/TCS-421 (HP),FREE,CS4C/TCS-409 (SC),FREE,CS6D/TCS-693 (SC),CS6F/TCS-601 (MK)
Thu,CS4C/TCS-409 (SC),FREE,CS6D/TCS-693 (SC),CS6E/TCS-693 (HP),FREE,CS6D/TCS-651 (AD),CS6F/XCS-601 (LS),CS4C/TCS-421 (HP)
Fri,CS6D/XCS-601 (MP),FREE,CS6D/TCS-601 (RS),CS6D/XCS-601 (MP),CS6D/TCS-611 (AB),CS6D/TCS-651 (AD),CS6D/TCS-611 (AB),CS6E/TCS-693 (HP)
