Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS6C/TCS-614 (AB),CS6F/TCS-614 (AA),CS4B/TCS-402 (AA),CS6B/TCS-666 (SJ),FREE,CS6F/TCS-693 (SP),FREE,CS4B/TCS-409 (SC)
Tue,FREE,CS4B/TCS-409 (SC),FREE,CS6C/TCS-614 (AB),CS4A/TCS-403 (GSJ),CS6B/TCS-666 (SJ),FREE,FREE
Wed,FREE,CS6C/TCS-614 (AB),CS4B/TCS-409 (SC),CS6F/TCS-693 (SP),FREE,CS6F/TCS-614 (AA),FREE,CS4A/TCS-403 (GSJ)
Thu,CS6F/TCS-611 (AB),FREE,FREE,CS6F/TCS-614 (AA),CS6F/TCS-611 (AB),CS6B/TCS-666 (SJ),FREE,CS6F/TCS-611 (AB)
Fri,CS4A/TCS-403 (GSJ),CS4B/TCS-402 (AA),FREE,FREE,CS6F/TCS-693 (SP),CS4B/TCS-402 (AA),CS4A/XCS-401 (SA),FREE
