Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,PCS-693 (SP) [LAB2],PCS-693(L) (SP) [LAB2],XCS-601 (LS) [CR402],TCS-614 (AA) [CR601],PCS-601 (VD) [LAB1],PCS-601(L) (VD) [LAB1],FREE,TCS-614 (AA) [CR601]
Tue,PESE-600 (MP) [SEMR2],PESE-600(L) (MP) [SEMR2],TCS-695 (PK) [CR402],TCS-693 (SP) [CR605],PCS-614 (KU) [LAB3],PCS-614(L) (KU) [LAB3],FREE,TCS-611 (AB) [CR605]
Wed,TCS-601 (MK) [CR602],FREE,FREE,TCS-614 (AA) [CR601],TCS-695 (PK) [CR402],TCS-693 (SP) [CR605],FREE,XCS-601 (LS) [CR402]
Thu,FREE,TCS-601 (MK) [CR602],FREE,TCS-695 (PK) [CR402],FREE,FREE,TCS-611 (AB) [CR605],SCS-601 (AB) [SEMR1]
Fri,FREE,TCS-601 (MK) [CR602],TCS-693 (SP) [CR605],FREE,FREE,FREE,FREE,TCS-611 (AB) [CR605]
