Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,CS4E/PCS-403 (MOP),CS4E/PCS-403(L) (MOP),CS6A/PCS-693 (MU),CS6A/PCS-693(L) (MU),FREE,FREE,FREE,FREE
Tue,CS4A/PCS-403 (GSJ),CS4A/PCS-403(L) (GSJ),CS4C/PCS-403 (GSJ),CS4C/PCS-403(L) (GSJ),FREE,FREE,CS4E/PCS-409 (AG),CS4E/PCS-409(L) (AG)
Wed,CS6A/PCS-614 (KU),CS6A/PCS-614(L) (KU),FREE,FREE,FREE,FREE,CS4C/PCS-409 (AG),CS4C/PCS-409(L) (AG)
Thu,FREE,FREE,FREE,FREE,FREE,FREE,CS6C/PCS-693 (MU),CS6C/PCS-693(L) (MU)
Fri,FREE,FREE,FREE,FREE,FREE,FREE,CS4D/PCS-403 (MOP),CS4D/PCS-403(L) (MOP)
