Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,TCS-409 (SC) [CR602],TCS-402 (AA) [CR603],FREE,TCS-464 (SJ) [CR605],TCS-464 (SJ) [CR605],TCS-403 (AB) [CR401],PCS-403 (AB) [LAB3],PCS-403(L) (AB) [LAB3]
Tue,FREE,TCS-402 (AA) [CR603],TCS-408 (DC) [CR401],PESE-400 (NJ) [SEMR2],FREE,TCS-408 (DC) [CR401],PCS-464 (SJ) [LAB4],PCS-464(L) (SJ) [LAB4]
Wed,TCS-409 (SC) [CR602],TCS-403 (AB) [CR401],TCS-409 (SC) [CR602],FREE,FREE,FREE,FREE,FREE
Thu,FREE,TCS-408 (DC) [CR401],TCS-464 (SJ) [CR605],XCS-401 (GP) [CR602],PCS-409 (AG) [LAB1],PCS-409(L) (AG) [LAB1],FREE,FREE
Fri,PCS-408 (DC) [LAB2],PCS-408(L) (DC) [LAB2],FREE,FREE,XCS-401 (GP) [CR602],TCS-402 (AA) [CR603],TCS-403 (AB) [CR401],FREE
