Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,TCS-408 (KM) [CR601],PCS-408 (KM) [LAB2],PCS-408(L) (KM) [LAB2],TCS-402 (SKS) [CR601],TCS-408 (KM) [CR601],TCS-421 (HP) [CR606],TCS-403 (GSJ) [CR602]
Tue,TCS-402 (SKS) [CR601],FREE,PCS-403 (GSJ) [LAB4],PCS-403(L) (GSJ) [LAB4],FREE,FREE,FREE,TCS-421 (HP) [CR606]
Wed,FREE,TCS-403 (GSJ) [CR602],TCS-409 (SC) [CR402],XCS-401 (DT) [CR402],PESE-400 (SK) [SEMR1],PESE-400(L) (SK) [SEMR1],PCS-409 (AG) [LAB4],PCS-409(L) (AG) [LAB4]
Thu,TCS-409 (SC) [CR601],FREE,TCS-402 (SKS) [CR601],FREE,FREE,TCS-403 (GSJ) [CR602],FREE,FREE
Fri,FREE,FREE,FREE,FREE,TCS-409 (SC) [CR402],XCS-401 (DT) [CR402],TCS-421 (HP) [CR606],TCS-408 (KM) [CR601]
