Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,TCS-464 (SJ) [CR403],TCS-409 (SC) [CR605],TCS-409 (SC) [CR605],XCS-401 (GP) [CR602],FREE,FREE,FREE,FREE
Tue,TCS-403 (AB) [CR602],TCS-408 (DC) [CR606],TCS-408 (DC) [CR606],FREE,FREE,FREE,FREE,XCS-401 (GP) [CR602]
Wed,TCS-464 (SJ) [CR403],FREE,PCS-464 (SJ) [LAB2],PCS-464(L) (SJ) [LAB2],PCS-403 (AB) [LAB3],PCS-403(L) (AB) [LAB3],TCS-408 (DC) [CR606],FREE
Thu,TCS-402 (AA) [CR605],FREE,TCS-403 (AB) [CR402],TCS-409 (SC) [CR605],PCS-409 (AG) [LAB2],PCS-409(L) (AG) [LAB2],FREE,TCS-402 (AA) [CR603]
Fri,TCS-464 (SJ) [CR403],TCS-402 (AA) [CR605],FREE,TCS-403 (AB) [CR602],PESE-400 (NJ) [SEMR2],PESE-400(L) (NJ) [SEMR2],PCS-408 (DC) [LAB3],PCS-408(L) (DC) [LAB3]
