Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,TCS611 (T_ANB) [CR602],FREE,TCS601 (T_DEV) [CR605],XCS601 (T_PAW) [CR605],TCS693 (T_HEP) [CR605],FREE,FREE,FREE
Tue,TCS666 (T_SHJ) [CR604],TCS693 (T_HEP) [CR602],TCS601 (T_DEV) [CR605],FREE,TCS695 (T_PRK) [CR601],PCS666 (T_SHJ) [LAB2],FREE,FREE
Wed,TCS611 (T_ANB) [CR604],TCS695 (T_PRK) [CR604],FREE,FREE,PCS601 (T_DEV) [LAB2],FREE,FREE,FREE
Thu,TCS666 (T_SHJ) [CR605],TCS695 (T_PRK) [CR601],TCS601 (T_DEV) [CR601],PESE600 (T_MAY) [SEMR1],FREE,TCS693 (T_HEP) [CR602],PCS693 (T_MEU) [LAB2],FREE
Fri,FREE,TCS666 (T_SHJ) [CR601],XCS601 (T_PAW) [CR605],TCS611 (T_ANB) [CR601],FREE,SCS601 (T_SHJ) [SEMR1],FREE,FREE
