Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,TCS666 (T_RAV) [CR606],XCS601 (T_DIV) [CR602],SCS601 (T_RAV) [SEMR1],FREE,FREE,FREE,FREE
Tue,FREE,FREE,PCS601 (T_VAD) [LAB1],PESE600 (T_NID) [SEMR1],FREE,FREE,FREE,FREE
Wed,TCS666 (T_RAV) [CR601],TCS601 (T_ARN) [CR606],TCS693 (T_VIJ) [CR604],TCS611 (T_ROH) [CR602],FREE,TCS695 (T_PRI) [CR606],FREE,FREE
Thu,PCS666 (T_RAV) [LAB1],TCS693 (T_VIJ) [CR606],TCS611 (T_ROH) [CR602],TCS611 (T_ROH) [CR601],TCS695 (T_PRI) [CR606],TCS601 (T_ARN) [CR606],FREE,FREE
Fri,PCS693 (T_MEU) [LAB1],TCS693 (T_VIJ) [CR604],XCS601 (T_DIV) [CR602],TCS666 (T_RAV) [CR602],TCS695 (T_PRI) [CR604],TCS601 (T_ARN) [CR606],FREE,FREE
