Day,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Mon,FREE,PCS693 (T_MEU) [LAB1],TCS666 (T_RAV) [CR603],XCS601 (T_DIV) [CR603],TCS611 (T_ROH) [CR603],FREE,FREE,FREE
Tue,FREE,TCS601 (T_ARN) [CR603],FREE,TCS666 (T_RAV) [CR603],TCS695 (T_PRI) [CR603],TCS611 (T_ROH) [CR603],FREE,FREE
Wed,TCS601 (T_ARN) [CR603],PESE600 (T_NID) [SEMR1],XCS601 (T_DIV) [CR603],TCS693 (T_VIJ) [CR605],FREE,FREE,FREE,FREE
Thu,FREE,SCS601 (T_RAV) [SEMR1],TCS693 (T_VIJ) [CR605],PCS601 (T_VAD) [LAB1],FREE,TCS611 (T_ROH) [CR603],TCS695 (T_PRI) [CR603],FREE
Fri,FREE,TCS695 (T_PRI) [CR602],PCS666 (T_RAV) [LAB1],TCS601 (T_ARN) [CR603],TCS693 (T_VIJ) [CR605],TCS666 (T_RAV) [CR603],FREE,FREE
